Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 15";"Process 9";99404;9.61365;9613647000;0;0;1.06066;1060658000;3861.75;3.86175e-06;inf;inf;323926976;128;4800
"Process 15";"Process 7";99404;17.0738;17073807000;1e-06;1000;1.06069;1060692000;363.925;3.63925e-07;2.048e+09;2.048;323926976;128;4800
"Process 15";"Process 8";99404;11.737;11736970000;0;0;1.06073;1060735000;3861.47;3.86147e-06;inf;inf;323926976;128;4800
"Process 15";"Process 2";99404;18.988;18988001000;1e-06;1000;1.06474;1064743000;208.509;2.08509e-07;2.048e+09;2.048;323926976;128;4800
"Process 15";"Process 3";99404;16.8748;16874790000;1e-06;1000;1.06474;1064741000;208.512;2.08512e-07;2.048e+09;2.048;323926976;128;4800
"Process 15";"Process 4";99404;17.2514;17251408000;1e-06;1000;1.07957;1079566000;208.508;2.08508e-07;2.048e+09;2.048;323926976;128;4800
"Process 15";"Process 5";99404;15.4194;15419358000;1e-06;1000;1.06475;1064754000;208.507;2.08507e-07;2.4e+09;2.4;323926976;128;4800
"Process 15";"Process 6";99404;15.2441;15244093000;1e-06;1000;1.06479;1064794000;363.9;3.639e-07;2.048e+09;2.048;323926976;128;4800
"Process 12";"Process 0";99448;20.0769;20076892000;1e-06;1000;1.06468;1064685000;208.512;2.08512e-07;2.4e+09;2.4;326418368;128;102400
"Process 12";"Process 10";99404;1.88339;1883395000;0;0;0.50593;505930000;8095.98;8.09598e-06;inf;inf;323926976;128;4800
"Process 12";"Process 11";112364;3.31786;3317862000;0;0;0.502242;502242000;254.857;2.54857e-07;inf;inf;959548032;128;51200
"Process 12";"Process 1";99404;11.9887;11988695000;1e-06;1000;1.06468;1064680000;1493.56;1.49356e-06;2.048e+09;2.048;323926976;128;4800
"Process 12";"Process 13";112364;13.9325;13932455000;1e-06;1000;1.0647;1064705000;3847.08;3.84708e-06;4.65455e+09;4.65455;959548032;128;51200
"Process 12";"Process 14";99404;15.7088;15708815000;0;0;1.0647;1064699000;1964.94;1.96494e-06;inf;inf;295996032;128;4096
"Process 12";"Process 15";99404;11.9786;11978556000;0;0;1.06469;1064693000;2661.95;2.66195e-06;inf;inf;295996032;128;4096
